track_name,popularity,artists,title,views,channel_title
I'm Yours,80,Jason Mraz,Jason Mraz  - Have It All [Official Video],475557,Jason Mraz
Animals,3,Nickelback,Nickelback - The Betrayal Act III [Official Video],57169,Nickelback
Somebody Else,73,The 1975,The 1975 - Give Yourself A Try,1053884,The 1975
Honeybrains,3,Royal Blood,Royal Blood - Look Like You Know (Official Video),56553,Royal Blood
In the End,85,Linkin Park,Linkin Park & Friends Celebrate Life in Honor of Chester Bennington (Recap Video),615364,Linkin Park
In the End,85,Linkin Park,Crawling (One More Light Live) - Linkin Park,523885,Linkin Park
In the End,85,Linkin Park,Talking to Myself (Official Lyric Video) - Linkin Park,217025,Linkin Park
In the End,85,Linkin Park,Enth E Nd (Official Video) - Linkin Park,874106,Linkin Park
Clint Eastwood,3,Gorillaz,Gorillaz - Humility (Official Video),3490465,Gorillaz
All Summer Long,0,Kid Rock,Kid Rock - American Rock 'n Roll (Official Video),101830,Kid Rock
Make Me Feel,0,Janelle Monáe,Janelle Monáe - Dirty Computer [Trailer],132583,Janelle Monáe
Make Me Feel,0,Janelle Monáe,Janelle Monáe – Make Me Feel [Official Music Video],631429,Janelle Monáe
Make Me Feel,0,Janelle Monáe,Janelle Monáe - PYNK [Official Video],3212650,Janelle Monáe
Make Me Feel,0,Janelle Monáe,Janelle Monáe – I Like That [Official Audio],306780,Janelle Monáe
Make Me Feel,0,Janelle Monáe,Janelle Monáe - I Like That [Official Video],1019138,Janelle Monáe
Rain,47,Rob Scallon,All Tritones Song (the devil's interval),246607,Rob Scallon
Rain,47,Rob Scallon,"Getting Delay, without using any effects...",380480,Rob Scallon
Rain,47,Rob Scallon,Making a Song in 57 Minutes,239139,Rob Scallon
IF I DON'T TEXT YOU FIRST,58,Tiffany Day,singing the same song 6 years later..,2239777,Tiffany Day
Favorite Time Of Year,1,Carrie Underwood,Carrie Underwood - Cry Pretty (Official Lyric Video),859034,Carrie Underwood
No Body,3,Blake Shelton,Blake Shelton - I Lived It (Official Music Video),279586,Blake Shelton
Wanted,0,Hunter Hayes,Hunter Hayes - You Should Be Loved (Part One Of Pictures),13917,Hunter Hayes
Wanted,0,Hunter Hayes,Hunter Hayes - More (Part Two Of Pictures),18630,Hunter Hayes
Wanted,0,Hunter Hayes,Hunter Hayes - This Girl (Part Three Of Pictures),31701,Hunter Hayes
Strawberries & Cigarettes,82,Troye Sivan,MY MY MY! TRAILER,349419,Troye Sivan
I Like Me Better,83,Lauv,Lauv - Paris in the Rain [Official Video],178887,Lauv
I Like Me Better,83,Lauv,Lauv - Getting Over You [Official Audio],452982,Lauv
I Like Me Better,83,Lauv,Lauv - Chasing Fire [Official Audio],514749,Lauv
I Like Me Better,83,Lauv,Lauv - Bracelet [Official Audio],352464,Lauv
Attention,83,Charlie Puth,Charlie Puth - If You Leave Me Now (feat. Boyz II Men) [Official Audio],585791,Charlie Puth
Attention,83,Charlie Puth,Charlie Puth (feat. Boyz II Men) - If You Leave Me Now (Studio Session),386725,Charlie Puth
Attention,83,Charlie Puth,Charlie Puth - Done For Me (feat. Kehlani) [Official Audio],722009,Charlie Puth
Attention,83,Charlie Puth,Charlie Puth - Change (feat. James Taylor) [Official Audio],865446,Charlie Puth
Attention,83,Charlie Puth,Charlie Puth - Change (feat. James Taylor) [Official Live Performance],554050,Charlie Puth
Attention,83,Charlie Puth,Charlie Puth - Done For Me (feat. Kehlani) [Official Video],2843450,Charlie Puth
Attention,83,Charlie Puth,Charlie Puth - Done For Me (Jazz Version),1181967,Charlie Puth
Attention,83,Charlie Puth,Charlie Puth - The Way I Am [Official Lyric Video],2640906,Charlie Puth
Attention,83,Charlie Puth,Charlie Puth - BOY [Official Audio],981789,Charlie Puth
Levitating,84,Dua Lipa,Dua Lipa - Golden Slumbers,276231,Dua Lipa
Levitating,84,Dua Lipa,Dua Lipa - IDGAF (Official Music Video),5247220,Dua Lipa
There's Nothing Holdin' Me Back,86,Shawn Mendes,Shawn Mendes In My Blood (Audio),4321512,Shawn Mendes
There's Nothing Holdin' Me Back,86,Shawn Mendes,Shawn Mendes Lost In Japan (Audio),2763271,Shawn Mendes
There's Nothing Holdin' Me Back,86,Shawn Mendes,Shawn Mendes: The Album,799742,Shawn Mendes
There's Nothing Holdin' Me Back,86,Shawn Mendes,Shawn Mendes: The Tour - Official Trailer,332910,Shawn Mendes
Family Affair (Dance for Me),4,David Guetta,David Guetta & Afrojack ft Charli XCX & French Montana - Dirty Sexy Money (Official Video),553971,David Guetta
Family Affair (Dance for Me),4,David Guetta,"David Guetta, Martin Garrix & Brooks - Like I Do (Lyric Video)",362255,David Guetta
Family Affair (Dance for Me),4,David Guetta,David Guetta & Sia - Flames (Lyric Video),693549,David Guetta
Family Affair (Dance for Me),4,David Guetta,David Guetta & Sia - Flames (Official Video),769927,David Guetta
It Will Rain,0,Bruno Mars,Bruno Mars - Live At The Apollo Theater [Official Trailer] (November 29th on CBS),301265,Bruno Mars
It Will Rain,0,Bruno Mars,Bruno Mars - Finesse (Remix) [Feat. Cardi B] [Official Video],548621,Bruno Mars
Take You Dancing,78,Jason Derulo,Jason Derulo - Tip Toe feat. French Montana (Official Lyric Video),1282413,Jason Derulo
Take You Dancing,78,Jason Derulo,Jason Derulo - Colors (Coca-Cola® Anthem for the 2018 FIFA World CupTM),404160,Jason Derulo
Take You Dancing,78,Jason Derulo,Jason Derulo - Colors (Official Music Video) The Coca-Cola Anthem for the 2018 World Cup,3035143,Jason Derulo
Take You Dancing,78,Jason Derulo,Jason Derulo - Colors (Official Music Video) The Coca-Cola Anthem for the 2018 FIFA World Cup,7656044,Jason Derulo
I'm a Mess,74,Bebe Rexha,Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Fan Video],268074,Bebe Rexha
I'm a Mess,74,Bebe Rexha,Bebe Rexha - Meant To Be (Acoustic),324964,Bebe Rexha
I'm a Mess,74,Bebe Rexha,Bebe Rexha - 2 Souls on Fire (feat. Quavo) [Lyric Video],277144,Bebe Rexha
I'm a Mess,74,Bebe Rexha,Bebe Rexha - 2 Souls on Fire (feat. Quavo) [Official Lyric Video],477465,Bebe Rexha
I'm a Mess,74,Bebe Rexha,Bebe Rexha - Ferrari [Official Lyric Video],953189,Bebe Rexha
Super Freaky Girl,92,Nicki Minaj,Nicki Minaj - Chun-Li (Music Video),2376410,Nicki Minaj
Super Freaky Girl,92,Nicki Minaj,Nicki Minaj - Chun-Li (Vertical Video),12571504,Nicki Minaj
Never Be the Same,74,Camila Cabello,Camila Cabello - Never Be The Same,496336,Camila Cabello
Never Be the Same,74,Camila Cabello,Camila Cabello - Live from Youtube,325790,Camila Cabello
Never Be the Same,74,Camila Cabello,Made in Miami (Artist Spotlight Story) - Camila Cabello,543891,Camila Cabello
Be Careful,0,Cardi B,"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",8227432,Cardi B
Alone,73,Marshmello,Marshmello & Anne-Marie - FRIENDS (Lyric Video) *OFFICIAL FRIENDZONE ANTHEM*,1685073,Marshmello
Alone,73,Marshmello,Marshmello - Fly (Official Music Video),1965219,Marshmello
Alone,73,Marshmello,Marshmello - FLY (Official Music Video),4787890,Marshmello
Alone,73,Marshmello,Marshmello x Juicy J - You Can Cry (Ft. James Arthur) (Official Video),2008491,Marshmello
Alone,73,Marshmello,Marshmello - TELL ME,815893,Marshmello
Animals,56,Martin Garrix,Martin Garrix & David Guetta - So Far Away (feat. Jamie Scott & Romy Dya) (Official Video),1418342,Martin Garrix
8 Letters,74,Why Don't We,Kiss You This Christmas - Why Don't We [Official Music Video],626351,Why Don't We
REMEDY,0,Alesso,"J. Balvin, Willy William - Mi Gente (Alesso Remix) with Anwar Jibawi",373301,Alesso
REMEDY,0,Alesso,"J. Balvin, Willy William - Mi Gente (Alesso Remix) with Anwar Jibawi [Official Music Video]",1747740,Alesso
Nightingale,0,Clean Bandit,Clean Bandit - Solo feat. Demi Lovato [Official Video],1112092,Clean Bandit
1x1,0,Galantis,Galantis & Throttle - Tell Me You Love Me (Official Music Video),197485,Galantis
bad guy,84,Billie Eilish,Billie Eilish - lovely (with Khalid) Audio,222322,Billie Eilish
Faded,80,Alan Walker,Alan Walker - All Falls Down (Behind The Scenes),746092,Alan Walker
Faded,80,Alan Walker,Alan Walker - Faded (Live Performance),539308,Alan Walker
Faded,80,Alan Walker,Noah Cyrus - Again (Alan Walker Remix),383425,Alan Walker
